Relatório de campanha
1 de janeiro de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,CPV médio,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo
Pausada,[YT] [Exibição de video] [Aumento de impostos] [in-stream pulável],"20,00", --,Diário,BRL,CPV máximo,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,02 - [Search] Cerato,"30,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,01 - [Search] Bongo #2,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Search][MODELOS][Max Cliques],"25,00", --,Diário,BRL,Maximizar cliques,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,SUZUKI [Search],"10,00", --,Diário,BRL,Maximizar conversões (CPA desejado),Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,02 [Search] Niro,"17,50", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Ativada,15 [Pesquisa] Sportage,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,0,"18,31",84.465,2.074,"2,46%","0,75","1546,65"
Ativada,08 [Pesquisa] Stonic,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,0,"15,81",28.948,1.166,"4,03%","0,39","457,53"
Pausada,[Search] [Kia Sportage],"30,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Search][Peças e Acessórios][Max Cliques],"10,00", --,Diário,BRL,Maximizar conversões (CPA desejado),Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Shopping]  [P.Max] [Todos Produtos] 30.04.24,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Performance Max,0,0,0,0, --,0,"0,00"
Pausada,03 [Search] [Sportage],"20,00", --,Diário,BRL,Maximizar conversões (CPA desejado),Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Search] [Kia Sportage] 3,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,13 [Search] Niro [17-06-24],"17,50", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,06 [Pesquisa] Bongo,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,04 [Pesquisa] Sportage,"20,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,05 - [Search] Chopper Road 30.04.24,"10,00", --,Diário,BRL,Maximizar cliques,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,05 - [Search] Master Ride 30.04.24,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Search] [Modelos] [Novo Site] 2.0,"45,50", --,Diário,BRL,Maximizar conversões (CPA desejado),Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; alguns anúncios foram reprovados,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,23 - [Search][Peças e Acessórios][Max Cliques],"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Youtube] Sportage - Vídeo visualizações –[19-06-2024],"9,67", --,Diário,BRL,CPV desejado,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,14 [Search] Niro,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,Shopping [padrão] [08-05-2024],"10,00", --,Diário,BRL,Maximizar cliques,Pausado,campanha pausada; desconhecido,Compras,0,0,0,0, --,0,"0,00"
Total: Campanhas, --, --, --, --,BRL, --, --,, --,"0,01","7,53",1.584.715,39.476,"2,49%","0,30","11939,94"
Total: Conta,,,,,BRL,,,,,"0,01","7,53",1.584.715,39.476,"2,49%","0,30","11939,94"
Total: Performance Max,,,,,BRL,,,,Performance Max,"0,01","2,68",1.343.767,25.404,"1,89%","0,14","3596,32"
Total: Inteligente,,,,,BRL,,,,Inteligente,0,0,0,0, --,0,"0,00"
Total: Compras,,,,,BRL,,,,Compras,0,0,0,0, --,0,"0,00"
Total: Vídeo,,,,,BRL,,,,Vídeo,0,0,0,0, --,0,"0,00"
Total: Pesquisa,,,,,BRL,,,,Pesquisa,0,"34,63",240.948,14.072,"5,84%","0,59","8343,62"
