Relatório de campanha
1 de junho de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,CPV médio,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo
Pausada,14 [Search] Niro,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,Shopping [padrão] [08-05-2024],"10,00", --,Diário,BRL,Maximizar cliques,Pausado,campanha pausada; desconhecido,Compras,0,0,0,0, --,0,"0,00"
Pausada,[Search] [Kia Sportage],"30,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada,Pesquisa,0,0,0,0, --,0,"0,00"
Ativada,[Amanita] [PMAX] Bongo,"15,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Performance Max,"0,02","3,85",114.900,3.777,"3,29%","0,12","441,91"
Ativada,01 [Pesquisa] Institucional,"14,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,0,"60,69",7.031,1.028,"14,62%","0,42","426,70"
Ativada,16 [Pesquisa] Niro,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,0,"8,00",26.292,572,"2,18%","0,37","210,25"
Ativada,03 [Pesquisa] Bongo,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,0,"11,68",12.343,340,"2,75%","0,42","144,19"
Pausada,[Search][SEMINOVOS][CPC Otimizado],"8,00", --,Diário,BRL,Maximizar cliques,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[YT] [Exibição de video] [Aumento de impostos] [in-stream pulável],"20,00", --,Diário,BRL,CPV máximo,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,01 - [Search] Bongo,"30,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,02 - [Search] Cerato,"30,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,01 - [Search] Bongo #2,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,SUZUKI [Search],"10,00", --,Diário,BRL,Maximizar conversões (CPA desejado),Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,02 [Search] Niro,"17,50", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Search][MODELOS][Max Cliques],"25,00", --,Diário,BRL,Maximizar cliques,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,07 [Pesquisa] Sportage,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[leads] [Youtube] Sportage 28-08-24,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,05 [Pesquisa] Niro,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,02 [Pesquisa] Niro,"20,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[YT] [Aumento de impostos],"20,00", --,Diário,BRL,CPV desejado,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Total: Campanhas, --, --, --, --,BRL, --, --,, --,"0,02","6,51",304.086,8.524,"2,80%","0,23","1978,66"
Total: Conta,,,,,BRL,,,,,"0,02","6,51",304.086,8.524,"2,80%","0,23","1978,66"
Total: Pesquisa,,,,,BRL,,,,Pesquisa,0,"12,91",84.270,2.801,"3,32%","0,39","1087,53"
Total: Vídeo,,,,,BRL,,,,Vídeo,0,0,0,0, --,0,"0,00"
Total: Compras,,,,,BRL,,,,Compras,0,0,0,0, --,0,"0,00"
Total: Performance Max,,,,,BRL,,,,Performance Max,"0,02","4,05",219.816,5.723,"2,60%","0,16","891,12"
Total: Inteligente,,,,,BRL,,,,Inteligente,0,0,0,0, --,0,"0,00"
