Relatório de campanha
1 de janeiro de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Impr.,Interações,Código da moeda,Custo médio,Custo,CTR,Cliques,CPC méd.,Taxa de conv.,Conversões,Custo / conv.
Pausada,Search [Kia Stonic],"20,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[YT] - Stonic,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[youtube] [Sportage] Conversões – 2024-05-03,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,04 - [Search] Master Ride,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[youtube] [Sportage] Conversões – [27-05-24],"10,36", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,09 [Youtube] Sportage,"9,67", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Ativada,15 [Pesquisa] Sportage,"7,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,84.465,2.074,BRL,"0,75","1546,65","2,46%",2.074,"0,75","6,58%","136,55","11,33"
Ativada,08 [Pesquisa] Stonic,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,28.948,1.166,BRL,"0,39","457,53","4,03%",1.166,"0,39","1,63%","19,00","24,08"
Pausada,[Search] [Kia Sportage],"30,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,03 [Search] [Sportage],"20,00", --,Diário,Maximizar conversões (CPA desejado),Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Search] [Kia Sportage] 3,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,23 - [Search][Peças e Acessórios][Max Cliques],"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Search] [Modelos] [Novo Site] 2.0,"45,50", --,Diário,Maximizar conversões (CPA desejado),Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; alguns anúncios foram reprovados,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Youtube] Sportage - Vídeo visualizações –[19-06-2024],"9,67", --,Diário,CPV desejado,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,04 [Pesquisa] Sportage,"20,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 - [Search] Chopper Road 30.04.24,"10,00", --,Diário,Maximizar cliques,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 - [Search] Master Ride 30.04.24,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,Shopping [padrão] [08-05-2024],"10,00", --,Diário,Maximizar cliques,Pausado,campanha pausada; desconhecido,Compras,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,14 [Search] Niro,"9,67", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,06 [Pesquisa] Bongo,"9,67", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,13 [Search] Niro [17-06-24],"17,50", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Search][Peças e Acessórios][Max Cliques],"10,00", --,Diário,Maximizar conversões (CPA desejado),Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Shopping]  [P.Max] [Todos Produtos] 30.04.24,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Performance Max,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Ativada,03 [Pesquisa] Bongo,"5,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,43.628,1.390,BRL,"1,42","1970,16","3,19%",1.390,"1,42","4,29%","59,62","33,04"
Ativada,[Amanita] [PMAX] Bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,932.828,13.392,BRL,"0,16","2094,96","0,78%",7.259,"0,29","2,82%","526,01","3,98"
Ativada,01 [Pesquisa] Institucional,"14,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,42.733,7.907,BRL,"0,41","3213,47","18,50%",7.907,"0,41","17,57%","1.388,87","2,31"
Ativada,16 [Pesquisa] Niro,"7,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,41.174,1.535,BRL,"0,75","1155,81","3,73%",1.535,"0,75","5,76%","88,35","13,08"
Pausada,[Search][SEMINOVOS][CPC Otimizado],"8,00", --,Diário,Maximizar cliques,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[YT] [Exibição de video] [Aumento de impostos] [in-stream pulável],"20,00", --,Diário,CPV máximo,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,02 [Pesquisa] Niro,"20,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[YT] [Aumento de impostos],"20,00", --,Diário,CPV desejado,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,02 - [Search] Cerato,"30,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,01 - [Search] Bongo #2,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[leads] [Youtube] Sportage 28-08-24,"9,67", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,07 [Pesquisa] Sportage,"9,67", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 [Pesquisa] Niro,"9,67", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Search][MODELOS][Max Cliques],"25,00", --,Diário,Maximizar cliques,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,SUZUKI [Search],"10,00", --,Diário,Maximizar conversões (CPA desejado),Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,02 [Search] Niro,"17,50", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,01 - [Search] Bongo,"30,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Total: Campanhas, --, --, --, --, --, --,, --,1.584.715,39.476,BRL,"0,30","11939,94","1,61%",25.483,"0,47","6,21%","2.678,37","4,46"
Total: Conta,,,,,,,,,1.584.715,39.476,BRL,"0,30","11939,94","1,61%",25.483,"0,47","6,21%","2.678,37","4,46"
Total: Pesquisa,,,,,,,,Pesquisa,240.948,14.072,BRL,"0,59","8343,62","5,84%",14.072,"0,59","12,03%","1.692,39","4,93"
Total: Vídeo,,,,,,,,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Total: Compras,,,,,,,,Compras,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Total: Performance Max,,,,,,,,Performance Max,1.343.767,25.404,BRL,"0,14","3596,32","0,85%",11.411,"0,32","2,98%","985,98","3,65"
Total: Inteligente,,,,,,,,Inteligente,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
